,0
5011, 이를 통해 지속가능한 고부가 사업과 친환경 소재 중심으로 사업 구조를 본격 전환할 계획이다
5012, 화학은 .년까지 총 .조.억원을 투자해 충남 대산공장에 생분해성 태양광 필름용 등 총 .개의 공장을 신설한다고 .일 밝혔다
5013, 는 농업용.일회용 필름 등에 사용되며 자연에서 빠르게 분해돼 폐플라스틱 문제 해결에 도움이 된다
5014, 는 고무와 플라스틱 성질을 모두 가진 고부가 합성수지로 태양광필름 자동차용 범퍼 신발 등에 쓰인다
5015, 절연성과 수분 차단성이 높고 발전 효율이 우수해 태양광 필름용 수요가 급격히 증가하고 있다
5016, 업계에 따르면 와 는 썩는 플라스틱 수요 증가 및 신재생에너지 보급 확대 등으로 .년까지 연평균 . 수준의 고성장이 이어질 것으로 전망된다
5017, 화학은 . 공장 건설을 시작으로 대산사업장을 .년까지 바이오 기반 원료 생산부터 친환경 소재 폐플라스틱 재활용 온실가스 저감 등 환경.사회.지배구조 사업 메카로 키울 계획이다
5018, 대산공장 내 공장은 연산 .만 공장은 연산 .만 규모로 건설된다
5019, 두 공장 모두 올해 착공해 .년 상업생산을 목표로 한다
5020, 이로 인해 연간 약 .억원 이상의 매출 증대 효과가 기대된다고 회사 측은 밝혔다
5021, 화학은 현재 대산에 연산 .만 규모의 공장을 보유하고 있다
5022, 이번 .만 증설이 완료되면 생산능력은 총 .만으로 확대된다
5023, 이는 생산능력 기준 세계 .위 규모다
5024, 한편 화학은 계획된 투자가 원활하게 추진될 수 있도록 이날 충남도.서산시와 투자협약을 체결했다
5025, 이번 협약으로 화학은 기존의 대산공장 부지 외 약 .만.만평의 신규 부지를 추가 확보했다
5026, 이번 투자로 약 .여명의 직접 고용이 이뤄질 전망이다
5027, 송은아 기자 . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5028,인천시가 관내 화학분야 업체의 제조기술 첨단화 및 고도화에 나선다
5029, 인천시는 산업통상자원부가 추진하는 .제조분야 친환경관리 인프라 구축사업.에 최종 선정됐다고 .일 밝혔다
5030, 이번 사업은 지역별 화학기반 중견.중소 제조업체의 친환경 안전관리 역량 강화를 지원하는 것이다
5031, 인천을 거점으로 전북.울산 .개 권역별로 .년까지 총 .억원국비 .억원 지자체 .억원 민간 .억원이 투입된다
5032, 이 가운데 인천에는 .억원이 반영될 예정이다
5033, 주요 내용은 시험평가 범용장비 공동활용 이용자 수요 분석으로 맞춤형 장비 구축 등 개방형 실험실 운영을 비롯해 성능평가 지원 안전관리체계 구축 .가지로 구분된다
5034, 아울러 안전분야 투자가 어려운 소규모 사업장 등을 대상으로 모니터링 시스템 보급 노후화.고위험 시설 개선 컨설팅 등 통합지원 프로그램이 가동된다
5035, 인천강승훈 기자 . . . . . . . . . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5036,.지구를 위한 갤럭시 . 삼성전자 제공. 삼성전자가 국내 시간으로 .일 온라인을 통해 진행된 .삼성 갤럭시 언팩 . .에서 더 나은 갤럭시 생태계를 위한 무선사업의 환경 지속가능 비전인 .지구를 위한 갤럭시 .를 발표했다
5037, .지구를 위한 갤럭시.는 생산부터 사용 폐기에 이르는 제품 수명 주기와 사업 운영 전반에 걸쳐 보다 지속가능한 미래를 위한 노력에 대한 선언으로 삼성전자는 .년까지 달성할 초기 목표도 공개했다
5038, 이를 통해 기후 변화에 대응하고 자원을 재사용.재활용하는 순환경제 실현에 앞장설 방침이다
5039, 우선 .년까지 모든 갤럭시 신제품에 재활용 소재를 적용한다
5040, 자원 순환을 통한 지속 가능한 발전을 위해 강도 심미성 내구성을 고려한 혁신적인 친환경 소재 개발에 노력하고 있으며 이를 단계적으로 확대해 제품 전반에 접목할 계획이다
5041, 패키지에서 모든 일회용 플라스틱 소재를 제거하는 노력을 지속한다
5042, 일반적인 제품 패키지에 사용되고 있는 불필요한 요소를 없애고 친환경 소재를 적용해 .년까지 제품 패키지에서 플라스틱 소재를 제거할 계획이다
5043, 모든 스마트폰 충전기의 대기 전력을 . 미만으로 낮춰 대기 전력 제로화를 달성한다
5044, 삼성전자는 에너지 효율을 높이고 전력 소모를 줄이는 에너지 절약 기술을 최우선으로 개발해왔으며 현재 모든 스마트폰 충전기의 대기 전력을 . 수준으로 줄였다
5045, 이는 업계에서 가장 에너지 효율이 높은 것이다
5046, .년까지 전세계 무선사업장에서 발생하는 폐기물의 재활용을 통해 매립 폐기물을 제로화 할 예정이다
5047, 또한 갤럭시 업사이클링 삼성 인증 중고폰 프로그램 보상 판매 프로그램 등을 통해 제품 수명 주기를 최적화하고 제조 공정과 제품 디자인 과정을 개선하며 전세계 전자 폐기물을 줄이기 위해 노력하고 있다
5048, 삼성전자는 기후 위기 해결을 위한 새로운 방법을 지속적으로 발굴하고 유엔의 지속가능발전목표 달성 가속화를 위해 애쓰고 있다
5049, 동시에 이러한 과정을 투명하게 공개하고 다양한 업계 선도업체들과 협력을 통해 전 세계적으로 긍정적인 영향을 확대하기 위해 노력하고 있다
5050, 삼성전자 무선사업부 노태문 사장은 .삼성은 규모와 영향력 방대한 갤럭시 생태계에 걸맞는 혁신적인 솔루션으로 지구 보호를 위한 노력을 해야한다고 생각한다
5051,며 .지구를 위한 갤럭시.는 보다 지속가능한 사회 건설을 위한 중요한 단계일 뿐이며 개방과 투명성 협업을 바탕으로 모든 최선을 다 할 것.이라고 말했다
5052, 삼성전자는 탄소 저감 자원 순환 생태 복원 등 다양한 활동을 통해 환경을 보호하고 인권과 다양성 존중 미래세대 교육 기술 혁신을 통한 포용적인 사회를 만들기 위해 지속가능경영을 강화하고 있다고 전했다
5053, 현화영 기자 . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5054,포스코 한국수력원자력과 맞손제철 부산물 수소 활용 전력 생산현대오일뱅크 이앤씨와 협업.탈황석고로 탄산화제품 생산. 폐플라스틱 재활용 업체와 합작화학 국내에 공장 건설키로 게티이미지뱅크 온실가스 배출을 줄이는 . 탄소중립.이 화두가 되면서 대표적 .기후악당. 산업으로 꼽히는 철강.정유.화학 업종이 친환경 행보에 속도를 내고 있다
5055, 위기를 기회로 만들기 위해 앞장서서 온실가스 배출을 줄이거나 폐기물을 새상품으로 만드는 신기술을 속속 도입 중이다
5056, 회사의 지속가능한 미래성장동력 확보는 물론 국가적 탄소중립 목표에 대한 선도적 역할을 다하겠다는 의지의 표현이다
5057, 포스코는 한국수력원자력과 손잡고 제철 공정에서 나오는 부생수소를 활용한 연료전지발전사업을 추진한다고 .일 밝혔다
5058, 포스코는 부생가스 등을 이용해 연간 .의 수소생산이 가능하다
5059, 이 중 약 .은 제철소 조업과 발전에 사용 중이다
5060, 연료전지발전소는 전남 광양에 들어선다
5061, .급의 연료전지발전을 통해 연간 약 .의 전력을 생산하는 규모로 세워질 예정이다
5062, 이는 광양시 인구 .에 해당하는 약 .만.명이 .년간 사용할 수 있는 전력량이다
5063, 석탄화력발전과 비교해 온실가스를 연간 .만 저감하는 효과도 있다
5064, 이날 업무협약을 체결한 두 회사는 이 사업의 예비 사업타당성 평가에 착수한 뒤 사업개발 금융조달 등을 진행한다
5065, 양사는 이 외에도 청정에너지를 이용한 수소 생산.활용 등 기존에 추진 중인 수소 관련 기술 및 사업 개발에서도 힘을 모으기로 했다
5066, 현대오일뱅크는 이앤씨와 공동으로 정유 부산물인 탈황석고와 이산화탄소를 활용해 탄산화제품을 생산하는 탄소 포집.활용 설비를 구축한다
5067, 내년 충남 서산시 현대오일뱅크 대산공장 내 연간 .만의 탄산화제품 생산 공장 건설을 시작으로 최대 .만까지 생산량을 늘릴 계획이다
5068, 현대오일뱅크는 이를 통해 정유 부산물인 탈황석고를 연간 .만가량 재활용하게 된다
5069, 또 탄산화제품 .당 이산화탄소 .을 포집.활용해 연간 .만의 탄소배출을 줄일 수 있을 전망이다
5070, 이는 소나무 .만그루를 심는 효과와 맞먹는 양이다
5071, 생산된 탄산화제품은 시멘트 콘크리트 경량 블록 등 건축자재의 대체원료로 사용된다
5072, 이 역시 광산에서 석고 탄산칼슘을 직접 채굴하는 것보다 자연 파괴가 적다
5073, 현대오일뱅크 관계자는 .온실가스 저감 자원 재활용 환경보전을 동시에 실현할 수 있는 방법.이라고 설명했다
5074, 이앤씨는 플랜트의 설계.구매.시공에 참여하고 탄산화제품으로 만든 친환경 시멘트 콘크리트 등을 건축 및 토목 사업에 적극 활용하기로 했다
5075, 종합화학은 이날 미국 폐플라스틱 재활용 기업 퓨어사이클 테크놀로지와 합작법인 설립을 위한 양해각서를 체결했다
5076, 퓨어사이클 테크놀로지는 포장용기 차량 내장재 등에 사용되는 폴리프로필렌 재활용에 특화된 기업이다
5077, 기반 플라스틱은 보통 재활용이 어려우나 퓨어사이클사는 그간 태우거나 매립했던 오염된 음식 용기 색상 있는 세제통 등을 재활용하는 기술을 갖고 있다
5078, 종합화학은 이 회사와 합작해 내년 말 국내에 재활용 공장을 착공한다
5079, .년 상업 가동이 목표다
5080, 이를 통해 연간 약 .만 규모 플라스틱 쓰레기를 재활용할 수 있을 것으로 추정하고 있다
5081, 송은아 기자 . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5082,.일 서울 중구에 위치한 신한은행 본점에서 신한은행 직원들이 은행에서 사용했던 폐현수막을 새활용한 장바구니와 공기정화식물 스투키 텀블러를 들고 .신한 실천 빌딩.선언에 동참하고 있다
5083, 신한은행 제공 신한은행이 은행 내 모든 공간을 .신한 환경.사회.지배구조 실천 빌딩.으로 선언했다
5084, 신한은행은 .일 임직원들이 자연스럽고 손쉽게 를 실천할 수 있도록 지원하겠다며 은행 내 모든 공간을 신한 실천 빌딩으로 만들겠다고 밝혔다
5085, 본점에서는 구내식당 도시락 용기를 친환경 제품으로 교체하고 건물 내 친환경 건축자재 사용을 .까지 점차 확대한다
5086, 영업점에서는 고객에게 제공하는 사은품을 친환경 장바구니 혹은 공기정화식물 같은 친환경 제품으로 변경하고 비환경성 제품은 즉시 제외하기로 했다
5087, 아울러 일상생활 속에서 실천할 수 있는 활동이 담긴 . 실천 가이드.를 임직원에게 공유해 자발적 참여를 확대할 계획이다
5088, 관련 캠페인도 실시한다
5089, 환경부가 주관하는 .온실가스 .인 .톤 줄이기 실천서약.에 참여하는 캠페인이나 조깅을 하면서 쓰레기를 줍는 .플로깅. 릴레이 캠페인 사회적 기업을 통해 폐 현수막과 결재판으로 에코백을 제작하는 업사이클링 캠페인 등을 검토하고 있다
5090, 신한은행 관계자는 . 경영은 이제 선택이 아닌 필수가 되었다
5091,며 .신한 만의 실천하는 문화를 정립해 경영을 선도해 나가겠다
5092,고 전했다
5093, 조희연 기자 . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5094,빙그레의 커피 브랜드 아카페라가 친환경 포장재로 패키지를 변경한다
5095, 새롭게 바뀌는 아카페라 패키지의 핵심은 수축 라벨의 소재 변경이다
5096, 수축라벨은 접착제를 사용한 일반 띠 라벨과 달리 필름에 열을 가해 수축시켜 포장하는 방식으로 절취선을 넣으면 재활용 시 분리배출이 용이하다
5097, 하지만 많은 캠페인 노력에도 불구하고 아직까지 분리배출하는 비율을 높지 않다
5098, 일반적으로 분리배출이 되지 않은 페트병은 파쇄 후 큰 수조에 넣어 무거운 플라스틱은 밑으로 가라앉고 가벼운 다른 부자재를 물 위에 띄워 구분하는 수.분리 공정을 거친다
5099, 아카페라에 적용되는 수축라벨과 뚜껑은 모두 비중이 .미만으로 제작되어 수분리 공정 시 물 위에 떠 분리 및 재활용이 용이하다
5100, 빙그레는 이 포장 기술로 지난 .월 .제.회 대한민국 패키징 대전.에서 .한국포장기술사회장상.을 수상했다
5101, .대한민국 패키지 대전.은 산업통상자원부가 주최하고 한국 생산기술연구원 패키징기술센터가 주관하는 국내 최고 권위의 패키징 신기술 관련 시상식이다
5102, 환경부가 평가하는 재활용 등급에서도 최우수 등급을 받았다
5103, 환경부에서는 .개 등급으로 재활용 등급을 평가하는데 최고 등급인 최우수 등급의 경우 몸체는 무색의 단일 재질을 사용하고 라벨은 비중 .미만에 소비자가 분리가 용이하도록 접착제를 사용하지 않고 마개 등 다른 자재들도 비중 .미만의 조건을 만족해야 한다
5104, 빙그레 아카페라는 수축라벨을 사용하는 국내 음료 중 최초로 재활용 최우수 등급을 받았다
5105, 빙그레 관계자는 .최근 친환경 소재 및 제품에 대한 제조업체와 소비자들의 관심이 높아지고 있다
5106,며 .새로운 패키지를 적용하는 아카페라 페트 바닐라라떼는 .월부터 순차적으로 공급될 예정이며 향후 다른 향료와 제품으로 확대할 계획.이라고 말했다
5107, 김현주 기자 . . . . . . . . . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5108,에스원이 출동차량 전부를 친환경차로 교체하는 등 환경.사회.지배구조경영에 박차를 가한다
5109, 에스원은 .일 이 같은 내용을 담은 경영을 본격화한다고 밝혔다
5110, 앞서 에스원은 올해 초 태스크포스를 발족해 약 .개월간 경영을 준비해 왔으며 지난달 .일 이사회를 거쳐 위원회를 신설해 본격적인 경영 활동에 들어갔다
5111, 우선 에스원은 다양한 친환경 정책을 통해 .년까지 탄소배출을 제로화한다는 방침이다
5112, 이를 위해 먼저 사내 업무용 차량 전체를 .년까지 친환경 차량으로 바꿀 예정이다
5113, 또 일부 사업장에 출동용 차량으로 전기차와 전기 이륜차를 시범 도입하고 순차적으로 전기차를 확대해 .년까지 전국 .여 대에 달하는 모든 출동용 차량을 친환경 차로 전면 교체할 계획이다
5114, 보안기기 폐기물을 재활용하고 기존 패키지를 친환경 소재로 교체하는 .에코패키지. 활동에도 적극적으로 나서기로 했다
5115, 현장에서 사용되다 회수되는 보안기기는 한 해 .만 여대 약 .톤에 달한다
5116, 에스원은 재활용 시스템을 통해 이런 폐기물을 획기적으로 줄일 계획이다
5117, 아산에 위치한 물류센터의 재활용 시스템을 활용하고 보안기기 출고 시 사용하는 포장재도 친환경 소재로 교체한다
5118, 안전한 사회 만들기에도 적극 나설 계획이다
5119, 우선 청소년들의 안전을 보장하기 위한 활동에 더 많은 지원을 약속했다
5120, 청소년들의 진로 진학을 지원하는 .에스원 아카데미. 교정시설 청소년들이 건강한 사회인으로 성장할 수 있도록 돕는 .희망장학금 사업.을 확대하기로 했다
5121, 관공서나 학교 등에서 진행하는 .심폐소생술 교육. 도 강화할 계획이다
5122, 행정안전부가 지정하는 .안전교육기관. 승인을 위한 준비도 진행 중이다
5123, 보안업계 .위 기업으로서 협력사와의 상생 문화를 조성한다는 계획도 수립했다
5124, 에스원은 자사가 보유한 특허를 중소 협력사와 공유하고 기술지원도 병행하는 한편 상생기금을 조성해 자금을 지원하는 등 협력사 지원활동을 펼치고 있다
5125, 여기에 더해 에스원은 협력사가 스스로 현황을 점검하고 실천할 수 있도록 돕고 필요할 경우 경영 노하우를 공유해 업계 전반에 의 가치가 확산할 수 있도록 도울 계획이다
5126, 에스원 관계자는 .위원회를 설립한 만큼 무늬만 경영이 아닌 실질적인 실행 전략으로 결실을 이뤄나갈 것.이라며 .업계는 물론 협력사를 아우르는 경영을 통해 선도기업으로서의 면모를 보여주겠다
5127,고 말했다
5128, 김건호 기자 . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5129,닷컴 .그린 프로젝트. 가동 마켓컬리 보랭가방 재사용 확대 .업체들 과대포장 개선 등 나서 사진게티이미지뱅크 과대 포장으로 비판받던 새벽배송 업체들이 친환경 소재를 이용한 포장재를 속속 도입하고 있다
5130, 환경.사회.지배구조 경영이 본격적으로 도입되면서 친환경 패키지가 보편화되는 모습이다
5131, .일 닷컴은 글로벌 재활용 컨설팅 기업 테라사이클과 함께 .일부터 새벽배송 포장재를 수거해 재활용하는 .그린 프로젝트.를 시작한다고 밝혔다
5132,그린 프로젝트.는 소비자가 배송용 비닐과 다 쓴 드라이아이스 부직포를 집 앞에 내놓으면 닷컴이 수거하고 이를 테라사이클이 원료화해 재활용하는 방식으로 진행된다
5133, 닷컴 새벽배송은 다회용 보랭가방 .알비백.을 사용해 식품의 신선도를 유지하고 오염 등을 방지하기 위해 알비백 안에 최소한의 배송용 비닐과 드라이아이스를 사용한다
5134, 닷컴은 테라사이클과 함께 .개의 재활용품 수거함을 제작해 온라인 전용 물류센터인 네오에 설치하기도 했다
5135, 앞서 닷컴은 지난 .년부터 알비백 도입 전기 배송차 운영 등을 통해 . 경영.에 속도를 내왔다
5136, 신성식 닷컴 브랜드마케팅팀 파트너는 .올해 말까지 그린 프로젝트 시범 운영을 거친 뒤 향후 .쓱배송. 등으로 적용 범위를 확대하는 방안도 적극 검토하고 있다
5137,고 밝혔다
5138, 새벽배송 업체들의 플라스틱 사용 최소화와 재사용 가방 도입도 잇따르고 있다
5139, 신선도 유지를 위해 제품에 비해 과도하게 큰 상자 비닐 등 포장재를 과용하는 데 대한 소비자들의 불만이 높아졌기 때문이다
5140, 오아시스마켓은 지난 .월 플라스틱 부자재를 완전히 없애고 상품만 한 상자에 넣어 발송하는 서비스를 시작했다
5141, 앞서 에어캡 비닐 등 부자재 사용을 최소화한 프리미엄 배송을 시범 도입하자 이를 선택한 소비자는 한 달 새 . 급증한 것으로 나타났다
5142, 마켓컬리는 시범 도입했던 재사용 보랭가방 .컬리 퍼플 박스. 서비스를 최근 전 고객 등급으로 확대했다
5143, 또한 고객이 다음 주문 때 배송에 사용된 비닐을 집 앞에 내놓으면 최대 .장까지 회수해 재활용한다
5144, 쿠팡은 재사용 보랭가방을 사용하는 .로켓프레시 에코. 서비스를 시범 운영 중이다
5145, 백소용 기자 . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5146,롯데케미칼이 폐플라스틱을 재활용한 재생 폴리에틸렌 포장백을 자체 개발해 자사 제품에 적용 중이라고 .일 밝혔다
5147, 롯데케미칼은 사용 후 버려지는 폴리에틸렌 소재 폐포장재를 고객사에서 회수해 재활용 공정을 거쳐 재생 폴리에틸렌을 만들었다
5148, 기존 백은 낮은 품질의 원료로 재활용되거나 일반쓰레기로 버려지는 경우가 대부분이었는데 이번 개발로 플라스틱 선순환이 가능해졌다
5149, 재생 폴리에틸렌은 새로운 포장백을 만들 때 . 가량 투입된다
5150, 롯데케미칼은 여수공장에서 생산하는 월 . 상당의 내수용 고밀도 폴리에틸렌 제품 출하 때 이 포장백을 시범 적용 중이다
5151, 올해 말까지 적용 제품군을 늘리고 물량도 월 .만.까지 확대할 예정이다
5152, 재생 폴리에틸렌에 들어가는 재생 플라스틱 비중도 늘릴 계획이다
5153, 롯데케미칼 기초소재사업 황진구 대표는 .재생 폴리에틸렌 포장백 도입으로 연간 . 이상의 플라스틱을 재활용할 수 있을 것으로 예상된다
5154,며 .생산부터 재활용까지 전 과정을 아우를 수 있는 플라스틱 선순환 구축에 앞장서겠다
5155,고 밝혔다
5156, 송은아 기자 . . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5157,.년내 .년 배출량 . 감축 목표온실가스 사용 공정에 감축설비 설치제품 개발 과정 .친환경 성과지표. 도입 디스플레이는 온실가스 감축과 친환경제품 개발에 매진하는 등 환경을 생각하는 투자와 활동에도 적극적으로 나서고 있다
5158, .일 디스플레이가 최근 발간한 . 지속가능경영보고서.에 따르면 디스플레이는 온실가스 배출량 모니터링을 강화하고 있다
5159, 디스플레이는 온실가스 배출권거래제 대상 기업으로 지정된 .년부터 매년 정부로부터 온실가스 배출권을 할당받고 이를 준수하기 위해 감축활동을 진행하고 있다
5160, 단기적으로는 .년까지 .년 배출량 대비 . 감축을 목표로 설정했다
5161, 중장기적으로는 .년까지 .년 대비 . 감축이 목표다
5162, 이를 바탕으로 지난 한해 국내에서 .만.이산화탄소배출량 상당을 감축했다
5163, 감축목표.만. 대비 .만. 이상 줄이는 성과를 냈다
5164, 또 디스플레이는 온실가스 절감을 위해 온실가스 주요 배출원인 .가스를 지구온난화지수가 더 낮은 가스로 대체하거나 온실가스 사용 공정에 감축설비를 설치했다
5165, .년에는 파주.구미 사업장에 감축설비를 설치하고 가동해 공정가스 배출량을 감소시켰다
5166, 디스플레이는 이러한 친환경 경영 성과를 인정받아 .년부터 .년 연속 탄소경영 아너스 클럽에 선정됐고 .물경영. 부문에서는 .년부터 .년 연속 우수기업으로 지정됐다
5167, 제품 개발 과정에도 친환경적인 부분을 놓치지 않고 있다
5168, 디스플레이는 .제품 친환경 성과지표 .를 도입했다
5169, 제품 개발 단계에서부터 자체 평가를 실시해 자원 에너지 유해물질에 대한 친환경 제품 기준을 강화하기 위한 차원이다
5170, .년에는 업계 최초로 글로벌 검.인증 시험 기관인 와 공동으로 용 디스플레이모듈의 인증 프로그램 을 개발했다
5171, 이 프로그램은 제품 개발 및 생산과정에서의 유해물질 관리시스템과 제품의 재활용 및 유해물질 사용 여부 등에 대해 심사를 진행한다
5172, 디스플레이는 프로그램을 통해 .년 최초 유기발광다이오드 모듈에 대해 인증을 획득했다
5173, 지난해에는 모듈 대부분의 모델에 대해 인증을 획득해 친환경 우수성을 공인받았다
5174, 남혜정 기자 . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5175,기업들 환경친화 제품 홍보하면서 한쪽선 아동착취.산업재해 등 유발 .그린워싱. 소비자 감시 더 촘촘해져 기업들도 철저한 자기 검증 나서야 지난달 방탄소년단이 전면에 나선 모 자동차회사의 환경 캠페인 광고가 공개되었다
5176, .월 .일인 지구의 날을 맞아 만들어진 이 광고는 수소의 지속가능성과 환경성을 세련되게 알리며 글로벌 고객을 겨냥했다
5177, 야심만만한 광고가 공개된 지 한 달 후 동일한 자동차 회사에 대한 광고가 영국 파이낸셜타임스의 한 면을 채웠다
5178, 다만 이번에는 한 비영리단체가 게재한 것이었다
5179, 이 지면 광고는 .해당 기업은 공급망 전체를 통해 환경가치를 추구하고 기후변화를 고려하여 전기차를 생산하는 것처럼 홍보하지만 한쪽에서는 석탄발전소를 짓고 있으며 이는 모순이다
5180,라고 고발한다
5181, 이는 해당 기업이 최대주주인 같은 계열사의 건설사가 환경단체의 거센 반대에도 불구하고 베트남에 석탄화력발전소를 건설하고 있는 것에 대한 비판이다
5182, 며칠 후 공개된 위 건설사의 지속가능경영보고서에는 향후 신규 사업에 대한 탈석탄 계획이 담겨 있었지만 이미 수주한 베트남 석탄발전소는 .신규.가 아니기 때문에 그대로 건설할 계획이다
5183, 지현영 사단법인 두루 변호사 그린워싱이란 .그린 광택 .과도 동일어로 사실은 친환경적이지 않은 기업의 제품 경영 및 정책이 환경친화적이라고 대중에 홍보하는 것을 의미한다
5184, 최근에는 .워크 워싱.이란 개념도 대두되고 있는데 기업들이 사회 분야의 여러 사건 즉 아동노동착취 소수자차별 산업재해 등을 일으키면서 한편으로는 사회문제에 깨어 있고 적극적으로 대응하는 것처럼 홍보하는 것을 지적하고 있다
5185, 기업의 그린워싱을 지적하는 일은 과거에도 종종 있어 왔으나 주로 그 주체는 환경단체에 국한되었다
5186, 예컨대 그린피스는 .년 팜오일의 최대 소비기업인 네슬레의 초콜릿 봉지에서 오랑우탄의 손가락을 꺼내어 먹으며 자판에 피가 뚝뚝 떨어지는 무시무시한 광고로 기업의 환경파괴와 그린워싱을 고발했다
5187, 당시 소비자들은 큰 관심이 없었는데 오히려 네슬레가 저작권 침해 등을 주장하며 강경 대응한 것이 소비자의 반감을 불러일으켜 결국 기업이 문제가 있는 팜유 공급업체와 거래를 중단하고 적극적으로 공급망 관리에 나섰던 사건이다
5188, 이 당시만 해도 크게 알려지지 않았던 .그린워싱.이라는 개념이 최근에는 통용화되고 있다
5189, 위 자동차 광고를 게재한 .마켓포시스.라는 단체는 이름 그대로 시장을 무기로 환경운동을 펼쳐 나간다
5190, 금융기관과 연기금의 투자금뿐만 아니라 국가에 납부한 세금이 환경을 해치는 쪽으로 사용되지 않도록 감시하는 활동을 주업무로 한다
5191, 이와 같이 소비자들과 환경단체들도 보다 전문화되고 글로벌한 대응을 해나가기 때문에 오늘의 야심만만한 홍보가 내일의 뼈아픈 리스크가 돼 돌아올 수 있다
5192, 또한 환경.사회.지배구조 투자자의 신뢰를 잃고 외면을 받는 계기가 될 수 있다는 면에서 기업에게 즉각적이고 직접적인 위협이 된다
5193, 한 조사에 따르면 투자자들의 가장 큰 근심거리.는 기업의 그린워싱이다
5194, 이로 인해 브랜드 이미지나 주가가 하락하고 소송 리스크를 부담하는 것은 투자자의 손실로 이어지기 때문이다
5195, 따라서 투자자 스스로 그린워싱을 피하기 위한 교육이 강화되고 있을 뿐만 아니라 규제의 도입을 다각적으로 요구하고 있다
5196, 이에 따라 각국 정부와 금융당국에서는 기업과 금융기관의 그린워싱을 방지하기 위한 규제만이 아닌 정보 공개 기준 및 의무화제도를 도입하고 있다
5197, 그러나 카트린 하르트만이 쓴 .위장환경주의.라는 책에서 고발하듯이 정부 또한 기업활동을 보호하기 위해 스스로 그린워싱의 주체가 되는 일도 빈번하다
5198, 결국 이 책은 시민의 역할을 강조한다
5199, 각자 그리고 함께 정의롭지 못한 일을 가차없이 지적하고 반대하고 운동할 수 있는 용기와 희망을 갖고 목소리를 내는 것이 중요하다는 것이다
5200, 이는 소비자 스스로 .친환경.을 불신하고 외면하게 되는 최악의 상황을 막기 위해서도 그렇다
5201, 최근 감시의 눈은 사방으로 확산 및 결합되고 있으며 정보공개에 대한 요구도 강화되고 있어 기업은 철저한 자기검증하에 준비된 상태로 .그린.을 입어야 할 것이다
5202, 지현영 사단법인 두루 변호사 . . . . . . . . . . . . . 세계일보 . 무단전재 및 재배포 금지다
5203,현대위아 직원들이 지난 .일 경기 의왕시 현대위아 의왕연구소에서 .현대위아 . 지속가능성보고서.를 들어 보이고 있다
5204, 현대위아 제공 현대위아가 미래 사업 비전과 환경.사회.지배구조 경영 활동을 담은 지속가능보고서를 발간했다
5205, 현대위아는 .현대위아 . 지속가능성보고서.를 최근 발간했다고 .일 밝혔다
5206, 회사는 보고서에서 친환경 자동차 부품 사업과 자동화 시스템 스마트 팩토리 사업 등으로 지속적인 성장을 이루겠다는 목표를 밝혔다
5207, 보고서에 따르면 .대 경영 방침으로 미래가지 창출을 위한 연구개발 강화 친환경 제품 서비스 확대 협력사 상생 발전 체계 확립 기업의 사회적 책임 활동 강화를 내세웠다
5208, 이를 통해 급변하는 자동차 기계 산업 시장에서 우위를 선점해 나간다는 계획이다
5209, 현대위아는 통합 연관리 모듈 전동화 부품 수소전기차 부품 등을 개발해 친환경 부품을 확대한다는 계획이다
5210, 통합 열관리 모듈은 올해 초 현대위아가 국내 최초로 개발한 냉각수 분배.공급 통합 모듈에 실내 공조까지 전기차의 모든 열을 관리한다
5211, 냉각수 분배.공급 통합 모듈은 현대차의 전기차 전용플랫폼 에 탑재돼 오는 .년부터 양산에 들어간다
5212, 현대위아는 .륜구동 제품을 양산한 경험을 살려 전동화 액슬 개발에도 나선다
5213, 현대위아는 .년 친환경 . 시스템인 .일체형 액슬. 시스템의 선행 개발을 완료한 바 있다
5214, 또 수소전기차의 필수 부품인 공기압축기 개발도 .년을 목표로 진행중이다
5215, 현대위아는 이번 보고서를 통해 향후 로봇과 자율주행을 기반으로 한 스맡 제조 물류 솔루션으로 기계 산업 시장을 선도할 것이라는 목표도 강조했다
5216, 현대위아는 .인간 친화적인 협동로봇을 개발해 모든 분야의 고객에게 다양한 맞춤 솔루션을 제공해 나갈 예정.이라고 강조했다
5217, 현대위아는 앞으로 매년 지속가능성고보고서를 통해 미래사업 비전과 경영 활동을 강조해 나갈 것이라고 했다
5218, 현대위아 관계자는 .현대위아의 경영 성과와 향후 목표를 지속가능성보고서에서 세세하게 확인할 수 있다
5219,며 .모든 이해관계자와 함께 지속가능한 성장을 이룰 수 있도록 노력하겠다
5220,고 말했다
5221, 지속가능성보고서. 전문은 현대위아 홈페이지에서 열람할 수 있다
